Probe,p-value,q_value,DEG
1552611_a_at,2.4129690749200055e-05,0.00447217234478818,1.0
1552619_a_at,3.1787528508636395e-09,5.793277070698983e-05,1.0
1552643_at,0.00040487944484400367,0.025561928886897445,1.0
1553589_a_at,0.0003257749763336941,0.02316221954622201,1.0
1553613_s_at,3.281261620584733e-06,0.001645626171387262,1.0
1553709_a_at,0.0003318064518318494,0.023378244528229855,1.0
1553956_at,0.00012991259153733416,0.01268387668268526,1.0
1553979_at,7.595620625905193e-05,0.008969558482102947,1.0
1553986_at,6.687617723088836e-05,0.00824647831417949,1.0
1554195_a_at,2.810581418251044e-06,0.0015366853904287584,1.0
1554572_a_at,1.982598479106188e-05,0.0040905121450992765,1.0
1554696_s_at,5.11794549859927e-06,0.00197977739978813,1.0
1555274_a_at,2.1526582506916516e-05,0.004268413028604394,1.0
1555460_a_at,1.2357557620292833e-06,0.001098535811263488,1.0
1555487_a_at,0.0005458928788043563,0.03098110599803725,1.0
1555522_s_at,3.137437275077267e-05,0.005229859238257609,1.0
1555725_a_at,0.0008923824270007119,0.04383738472260909,1.0
1555760_a_at,0.0003234641079591837,0.023027864717016108,1.0
1555780_a_at,0.0007953690681950284,0.0404905063347888,1.0
1555797_a_at,0.00030467250209765325,0.02221062540291892,1.0
1555864_s_at,0.00038396422667493234,0.025561928886897445,1.0
1555896_a_at,4.899446664166731e-05,0.006886304533761337,1.0
1555948_s_at,0.0006103901610443479,0.03377842313269203,1.0
1556007_s_at,0.000476711158422027,0.028960202874138138,1.0
1556551_s_at,5.438421531590744e-06,0.0020366143646556433,1.0
1557953_at,0.00011197634790734775,0.011508095529763606,1.0
1558028_x_at,0.0007564334177306725,0.038980204631879845,1.0
1558511_s_at,6.1122952419948105e-06,0.002156062853910105,1.0
1558569_at,9.116618547521387e-05,0.009870319189816472,1.0
1559258_a_at,0.00048708837672754315,0.029081571184866564,1.0
1562235_s_at,0.00021657568026181635,0.01759476273152275,1.0
1566079_at,0.0009537531092904596,0.04584197078067179,1.0
1566342_at,0.0004452697516230107,0.027539732658357595,1.0
1567107_s_at,0.0006565039393833035,0.03539877010432162,1.0
1568619_s_at,9.769008300748027e-05,0.010411706215270922,1.0
1568680_s_at,0.00019613407433130247,0.016419093639543705,1.0
200076_s_at,0.00023685524446119067,0.01876820361002261,1.0
200601_at,0.0007839439470410833,0.04002066788466035,1.0
200616_s_at,0.0005734720178607187,0.03212559690218729,1.0
200664_s_at,0.00043003484527842303,0.026779220006375604,1.0
200711_s_at,9.116618547521387e-05,0.009870319189816472,1.0
200737_at,0.0008599543389657207,0.04259262722307928,1.0
200755_s_at,4.428923472566067e-05,0.006457370423001326,1.0
200756_x_at,4.705924021173375e-05,0.00666570973724493,1.0
200783_s_at,0.00015738094914925142,0.014365281126436265,1.0
200790_at,6.408972253912735e-05,0.008073975990384305,1.0
200810_s_at,0.00018347134250285853,0.015797315986368174,1.0
200811_at,5.9760538450644346e-05,0.007802664770336599,1.0
200815_s_at,0.00028357252904649623,0.0211807759912803,1.0
200824_at,0.000296541996051395,0.021733825246796276,1.0
200827_at,0.00015996811901822103,0.014480557793578203,1.0
200848_at,0.000182725398791514,0.015773122396222316,1.0
200849_s_at,0.0006244572116461126,0.03424493284528707,1.0
200864_s_at,0.0010352882174090327,0.048923408199515,1.0
200913_at,0.0002708447037924177,0.02048192832621084,1.0
200946_x_at,8.144193996450667e-05,0.009379759850180865,1.0
200957_s_at,0.000842603215200384,0.04214943347765874,1.0
201014_s_at,1.8563218515488068e-05,0.004030607516051441,1.0
201037_at,2.8937788569266622e-05,0.0050227733016655635,1.0
201085_s_at,0.00038956500861944286,0.025561928886897445,1.0
201133_s_at,3.4814158906969464e-06,0.0016479841200678525,1.0
201170_s_at,1.857728567068977e-05,0.004030607516051441,1.0
201192_s_at,0.0006295858206741177,0.03428546289378226,1.0
201195_s_at,0.00022157662875524825,0.01786829229674513,1.0
201196_s_at,9.206875122234891e-08,0.00023970757014675842,1.0
201197_at,9.085871107688045e-07,0.0009631928828867648,1.0
201236_s_at,6.970079954897606e-06,0.0023670131772299792,1.0
201275_at,1.4156364365905942e-06,0.0011552227189640409,1.0
201281_at,0.0008956086528156994,0.04395637620529476,1.0
201288_at,0.0005345319555398032,0.03052487165731478,1.0
201294_s_at,0.0009223367203163444,0.0449961094834302,1.0
201311_s_at,2.147894894427695e-06,0.0013181461734708129,1.0
201360_at,0.00016947883582836738,0.015026159989753415,1.0
201387_s_at,0.00020331410825555059,0.016842725558897317,1.0
201397_at,2.1308511626855132e-07,0.0003973539389373509,1.0
201412_at,8.681378826793204e-05,0.009726524331043412,1.0
201413_at,5.016908919402643e-06,0.001973377663081579,1.0
201454_s_at,0.00030827181325010034,0.022383481260888762,1.0
201455_s_at,2.3922474708340683e-05,0.004464594981891986,1.0
201478_s_at,5.736941804269088e-06,0.0020896768680252692,1.0
201479_at,3.176066131167755e-05,0.005262164112775667,1.0
201481_s_at,3.9645159258920495e-05,0.005963612494359675,1.0
201491_at,0.0007604607764597814,0.03915084082197603,1.0
201504_s_at,3.515292142965174e-06,0.0016479841200678525,1.0
201521_s_at,0.0003542504571572976,0.02442451922455895,1.0
201522_x_at,8.188511274536683e-05,0.009379759850180865,1.0
201534_s_at,1.151536243562675e-05,0.0030712314203311833,1.0
201584_s_at,0.000883782575288342,0.04357151695571695,1.0
201587_s_at,8.099556485756967e-06,0.002516154834424785,1.0
201624_at,0.0002949842458006113,0.02166421925870994,1.0
201629_s_at,0.00045849017987839244,0.02815215657811167,1.0
201656_at,3.4289725464638114e-06,0.001645626171387262,1.0
201658_at,0.000245673539828821,0.019299139066294234,1.0
201663_s_at,2.74660525959409e-05,0.004828638024704401,1.0
201705_at,3.9811953551738115e-05,0.005963612494359675,1.0
