ProbeID,ENTREZID
1,6352
2,949
3,54965
4,85477
5,149647
6,3664
7,64326
8,10228
9,246721
10,124637
11,7095
12,150696
13,139411
14,59285
15,79258
16,4799
17,7021
18,4508
19,118430
20,2296
21,261726
22,84950
23,285761
24,117159
25,65062
26,102724560
27,1841
28,158158
29,10230
30,9180
31,144577
32,374378
33,79707
34,1690
35,50809
36,124583
37,10097
38,7083
39,25793
40,83787
41,203274
42,79918
43,79723
44,4000
45,79828
46,26269
47,9793
48,427
49,25800
50,5797
51,83871
52,1072
53,51581
54,64783
55,10631
56,6009
57,201931
58,10092
59,332
60,91283
61,5160
62,84445
63,9765
64,3488
65,127707
66,57692
67,26036
68,81533
69,80124
70,285368
71,9557
72,7327
73,63897
74,3326
75,9446
76,253143
77,57488
78,158960
79,112770
80,113235
81,22897
82,57560
83,121441
84,101926959
85,8654
86,100506492
87,124454
88,23085
89,255031
90,1956
91,6992
92,440465
93,7171
94,728613
95,285237
96,197342
97,115804232
98,10594
99,8664
100,2665
101,23399
102,5690
103,7919
104,23
105,9092
106,3608
107,8882
108,10438
109,3550
110,2987
111,3735
112,6201
113,3192
114,8661
115,7184
116,4478
117,81
118,5885
119,9948
120,1173
121,10992
122,7453
123,5216
124,5792
125,3069
126,8663
127,4924
128,6746
129,5034
130,5245
131,6282
132,5476
133,3337
134,7494
135,2896
136,3146
137,23450
138,11014
139,2280
140,6500
141,5230
142,6612
143,2782
144,5901
145,823
146,813
147,4779
148,5757
149,3925
150,4953
151,50
152,8404
153,4170
154,6301
155,3329
156,7791
157,1153
158,5048
159,5714
160,7167
161,2950
162,10525
163,5351
164,6319
165,4134
166,2058
167,9588
168,5499
169,10768
170,2783
171,2316
172,23019
173,1718
174,8766
175,55905
176,2034
177,6745
178,6434
179,3068
180,10724
181,4074
182,191
183,6181
184,7203
185,5496
186,3895
187,1912
188,694
189,6520
190,3281
191,2746
192,8079
193,10552
194,6749
195,1211
196,7317
197,5479
198,8887
199,966
200,10155
201,10970
202,16
203,7335
204,6184
205,10606
206,1964
207,7533
208,6879
209,9669
210,5214
211,8125
212,5886
213,2771
214,23646
215,9491
216,2804
217,2040
218,5954
219,8761
220,1537
221,5701
222,23451
223,6599
224,6651
225,3838
226,6389
227,8239
228,5211
229,7057
230,5425
231,1363
232,3693
233,4245
234,3188
235,9867
236,5355
237,10456
238,7078
239,9927
240,8531
241,9698
242,396
243,8553
244,10726
245,2773
246,1108
247,5654
248,3710
249,5306
250,8140
251,262
252,5707
253,1476
254,6238
255,5510
256,5358
257,1488
258,5887
259,10250
260,2023
261,5719
262,7832
263,830
264,5894
265,55611
266,5315
267,5704
268,7917
269,6897
270,4831
271,22913
272,231
