ProbeID,ENTREZID
1,201853
2,148545
3,151126
4,105375624
5,285097
6,4137
7,65055
8,4602
9,2099
10,4693
11,1733
12,1558
13,2625
14,776
15,2066
16,9
17,157869
18,51466
19,54847
20,80000
21,100126791
22,80139
23,26166
24,2674
25,90362
26,3760
27,143941
28,5241
29,440503
30,253012
31,255877
32,11103
33,9620
34,139411
35,401233
36,53335
37,1159
38,5332
39,2348
40,6352
41,1824
42,10563
43,9848
44,10874
45,6690
46,1259
47,9447
48,81611
49,100133941
50,688
51,6373
52,330
53,4781
54,890
55,6279
56,931
57,51053
58,60559
59,79682
60,64919
61,11254
62,51302
63,84057
64,83879
65,1956
66,122060
67,3575
68,112609
69,143662
70,10205
71,56977
72,5080
73,64225
74,83851
75,685
76,114821
