"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection"
"2","query_1",TRUE,0.243485658055093,79,98,18,0.183673469387755,0.227848101265823,"GO:0048870","goslim_names","cell motility",784,56,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","ANLN,FOXC1,ITGA6,STK39,TMSB15A,LGALS8,PLAA,GATA3,RHOB,TMSB15B,EVL,GTPBP4,VAV3,ASPM,CLDN1,FOXP1,CDK6,TP53INP1"
"3","query_1",TRUE,0.243485658055093,27,98,8,0.0816326530612245,0.296296296296296,"GO:0006954","goslim_names","inflammatory response",784,28,"X,X,X,X,X,X,X,X","PJA2,STK39,IL6ST,ESR1,PLAA,GATA3,CERS6,FOXP1"
"4","query_1",TRUE,0.243485658055093,16,98,6,0.0612244897959184,0.375,"GO:0007163","goslim_names","establishment or maintenance of cell polarity",784,36,"X,X,X,X,X,X","MAD2L1,NDC80,KIF2C,GATA3,RHOB,GPSM2"
"5","query_1",TRUE,0.626014289207089,282,98,42,0.428571428571429,0.148936170212766,"GO:0048856","goslim_names","anatomical structure development",784,55,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","ANLN,FOXC1,PHGDH,HSD17B4,ITGA6,IFRD1,CDC20,RNF8,MPZL2,IGF2BP3,CEBPG,SRD5A1,DSC2,IL6ST,FABP7,ESR1,CRABP1,DSC3,JRKL,LGALS8,AGR2,CRYAB,MSH2,PLAA,GATA3,VLDLR,RHOB,LPIN1,WWP1,EVL,UTP11,VAV3,IGF2BP2,CERT1,ASPM,CLDN1,FOXP1,CDK6,SMIM14,AFF4,MTHFD1L,B3GNT5"
"6","query_1",TRUE,0.626014289207089,63,98,12,0.122448979591837,0.19047619047619,"GO:0006629","goslim_names","lipid metabolic process",784,22,"X,X,X,X,X,X,X,X,X,X,X,X","FDPS,HSD17B4,SRD5A1,ESR1,CRABP1,PLAA,VLDLR,LPIN1,CERS6,VAV3,CERT1,B3GNT5"
"7","query_1",TRUE,0.626014289207089,109,98,19,0.193877551020408,0.174311926605505,"GO:0012501","goslim_names","programmed cell death",784,38,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","FOXC1,ITGA6,TRIM2,MAD2L1,SKP2,BUB1B,IL6ST,ESR1,CRYAB,MSH2,GATA3,RHOB,UTP11,VAV3,FOXP1,CDCA7,RABEP1,KIF1B,TP53INP1"
"8","query_1",TRUE,0.626014289207089,63,98,12,0.122448979591837,0.19047619047619,"GO:0007155","goslim_names","cell adhesion",784,35,"X,X,X,X,X,X,X,X,X,X,X,X","ITGA6,MPZL2,DSC2,IL6ST,DSC3,AGR2,GATA3,RHOB,GTPBP4,VAV3,CLDN1,CDK6"
"9","query_1",TRUE,0.663227408954927,22,98,5,0.0510204081632653,0.227272727272727,"GO:0140013","goslim_names","meiotic nuclear division",784,69,"X,X,X,X,X","CDC20,BUB1B,RAD51AP1,NDC80,ASPM"
"10","query_1",TRUE,0.663227408954927,16,98,4,0.0408163265306122,0.25,"GO:0003012","goslim_names","muscle system process",784,5,"X,X,X,X","DSC2,IL6ST,CRYAB,CERT1"
"11","query_1",TRUE,0.663227408954927,117,98,19,0.193877551020408,0.162393162393162,"GO:0002376","goslim_names","immune system process",784,4,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","ANLN,FOXC1,PJA2,ITGA6,STK39,RNF8,SKP2,CEBPG,IL6ST,ESR1,MSH2,GATA3,ELF1,SHMT2,VAV3,CERT1,CLDN1,FOXP1,CDK6"
"12","query_1",TRUE,0.663227408954927,21,98,5,0.0510204081632653,0.238095238095238,"GO:0006310","goslim_names","DNA recombination",784,13,"X,X,X,X,X","TSN,RNF8,RAD51AP1,MSH2,SMC6"
"13","query_1",TRUE,0.84953123647992,280,98,37,0.377551020408163,0.132142857142857,"GO:0023052","goslim_names","signaling",784,44,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","FOXC1,PJA2,ITGA6,STK39,CDC20,MAD2L1,SKP2,BUB1B,SCHIP1,IQCJ-SCHIP1,NDC80,DSC2,IL6ST,ESR1,CRABP1,AGR2,CRYAB,MSH2,PLAA,GATA3,VLDLR,RHOB,ELF1,WWP1,EVL,VAV3,KCTD9,CERT1,ASPM,EIF4EBP1,GPSM2,CXXC5,FOXP1,CDK6,RABEP1,KIF1B,CSNK1G3"
"14","query_1",TRUE,0.84953123647992,201,98,29,0.295918367346939,0.144278606965174,"GO:0030154","goslim_names","cell differentiation",784,45,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","ANLN,FOXC1,PHGDH,HSD17B4,ITGA6,IFRD1,CDC20,RNF8,ADIRF,CEBPG,SRD5A1,IL6ST,ESR1,AGR2,MSH2,PLAA,GATA3,VLDLR,RHOB,ELF1,GTPBP4,MREG,ASPM,ELF5,CLDN1,FOXP1,CDK6,AFF4,TP53INP1"
"15","query_1",TRUE,0.84953123647992,60,98,8,0.0816326530612245,0.133333333333333,"GO:0030163","goslim_names","protein catabolic process",784,46,"X,X,X,X,X,X,X,X","TRIM2,CDC20,RNF8,MAD2L1,SKP2,PLAA,WWP1,SPOPL"
"20","query_1",TRUE,0.84953123647992,26,98,4,0.0408163265306122,0.153846153846154,"GO:0042254","goslim_names","ribosome biogenesis",784,53,"X,X,X,X","DDX18,DKC1,UTP11,GTPBP4"
"22","query_1",TRUE,0.84953123647992,82,98,13,0.13265306122449,0.158536585365854,"GO:0022414","goslim_names","reproductive process",784,42,"X,X,X,X,X,X,X,X,X,X,X,X,X","FOXC1,HSD17B4,CDC20,RNF8,BUB1B,RAD51AP1,NDC80,SRD5A1,ESR1,MSH2,GATA3,ASPM,AFF4"
"23","query_1",TRUE,0.84953123647992,35,98,4,0.0408163265306122,0.114285714285714,"GO:0050877","goslim_names","nervous system process",784,57,"X,X,X,X","PJA2,VLDLR,LPIN1,VPS54"
"25","query_1",TRUE,0.84953123647992,34,98,4,0.0408163265306122,0.117647058823529,"GO:0055085","goslim_names","transmembrane transport",784,61,"X,X,X,X","SLC39A6,STK39,WWP1,SLC43A3"
"26","query_1",TRUE,0.84953123647992,40,98,5,0.0510204081632653,0.125,"GO:0055086","goslim_names","nucleobase-containing small molecule metabolic process",784,62,"X,X,X,X,X","AMD1,HSD17B4,UCK2,SHMT2,REXO2"
"27","query_1",TRUE,0.84953123647992,98,98,12,0.122448979591837,0.122448979591837,"GO:0065003","goslim_names","protein-containing complex assembly",784,64,"X,X,X,X,X,X,X,X,X,X,X,X","ANLN,LSM4,ESR1,TMSB15A,CRYAB,TMSB15B,SHMT2,EVL,KCTD9,CENPN,CLDN1,CENPW"
"28","query_1",TRUE,0.84953123647992,49,98,8,0.0816326530612245,0.163265306122449,"GO:0098542","goslim_names","defense response to other organism",784,67,"X,X,X,X,X,X,X,X","PJA2,SKP2,CEBPG,LGALS8,GATA3,SHMT2,CLDN1,FOXP1"
"30","query_1",TRUE,0.84953123647992,48,98,6,0.0612244897959184,0.125,"GO:0140014","goslim_names","mitotic nuclear division",784,70,"X,X,X,X,X,X","ANLN,CDC20,MAD2L1,BUB1B,NDC80,KIF2C"
"31","query_1",TRUE,0.84953123647992,25,98,3,0.0306122448979592,0.12,"GO:0034330","goslim_names","cell junction organization",784,50,"X,X,X","ITGA6,CDC20,CLDN1"
"32","query_1",TRUE,0.84953123647992,63,98,8,0.0816326530612245,0.126984126984127,"GO:0016192","goslim_names","vesicle-mediated transport",784,41,"X,X,X,X,X,X,X,X","PLAA,VLDLR,RHOB,VAV3,RABEP1,KIF1B,CSNK1G3,VPS54"
"33","query_1",TRUE,0.84953123647992,124,98,16,0.163265306122449,0.129032258064516,"GO:0000278","goslim_names","mitotic cell cycle",784,1,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","ANLN,FOXC1,CDC20,MAD2L1,SKP2,BUB1B,NDC80,KIF2C,MSH2,RHOB,LPIN1,EIF4EBP1,CDK17,GPSM2,CDK6,CENPW"
