"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection"
"1","query_1",TRUE,0.997169688775791,51,152,6,0.0394736842105263,0.117647058823529,"GO:0000278","goslim_names","mitotic cell cycle",588,1,"X,X,X,X,X,X","FOXC1,BUB1,CDC20,MYB,FOXA1,PSMA5"
"2","query_1",TRUE,0.997169688775791,15,152,3,0.0197368421052632,0.2,"GO:0016071","goslim_names","mRNA metabolic process",588,39,"X,X,X","IGF2BP3,PSMA5,RBM24"
"3","query_1",TRUE,0.997169688775791,42,152,10,0.0657894736842105,0.238095238095238,"GO:0016192","goslim_names","vesicle-mediated transport",588,41,"X,X,X,X,X,X,X,X,X,X","PTX3,SYT1,VAV3,ADIPOQ,SYTL5,SCARA5,LIN7A,LRP2,RAB27B,SYT17"
"4","query_1",TRUE,0.997169688775791,72,152,21,0.138157894736842,0.291666666666667,"GO:0022414","goslim_names","reproductive process",588,42,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","ROPN1,FOXC1,HORMAD1,SOX8,SERPINB5,BUB1,CDC20,PTX3,FOXA1,STC2,CLGN,DACH1,BMPR1B,AREG,GFRA1,AR,LRP2,GATA3,ABAT,PGR,ESR1"
"6","query_1",TRUE,0.997169688775791,273,152,72,0.473684210526316,0.263736263736264,"GO:0023052","goslim_names","signaling",588,44,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","GABRP,SHC4,FOXC1,HORMAD1,FERMT1,SOX8,ZIC1,SOX11,SOX10,MMP12,CRYAB,NRTN,BUB1,KLF5,CDC20,VANGL2,FZD9,MAP3K21,KLK5,SLC16A1,FOXA1,INPP4B,ANKS1B,XBP1,SYT1,BEX1,CEACAM6,RALGPS2,PSMA5,STC2,DUSP4,GRIK3,TFAP2B,MAPT,GUCY1A2,F2RL2,CYSLTR1,RAB30,VAV3,RERG,WWP1,BMPR1B,IL33,NRK,CNTNAP2,ADIPOQ,AREG,KCNJ3,GRP,GFRA1,PTGER3,TCIM,MYRIP,AR,ANXA9,LIN7A,LRP2,GPR160,SYT17,SLC44A4,GATA3,MPV17L,ERBB4,ABAT,AGTR1,SCUBE2,TFF1,CLSTN2,AGR2,PGR,ESR1,SCGB2A2"
"7","query_1",TRUE,0.997169688775791,192,152,57,0.375,0.296875,"GO:0030154","goslim_names","cell differentiation",588,45,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","ROPN1,PROM1,EN1,SHC4,FOXC1,HORMAD1,ELF5,SOX8,BCL11A,ZIC1,UGT8,SOX11,KRT5,SOX10,NRTN,KLF5,CDC20,FZD9,PTX3,KLK5,MYB,FOXA1,XBP1,FRY,SYT1,BEX1,PSMA5,TFAP2B,MAPT,GSTM3,FABP4,ADAMTS15,BMPR1B,IL33,RBM24,SLITRK6,NRK,CNTNAP2,ADIPOQ,AREG,NEK5,LRRC17,GFRA1,CEACAM5,AR,LRP2,SYT17,SLC44A4,GATA3,ERBB4,AGTR1,SCUBE2,DHRS2,TFF1,AGR2,PGR,ESR1"
"8","query_1",TRUE,0.997169688775791,31,152,9,0.0592105263157895,0.290322580645161,"GO:0030163","goslim_names","protein catabolic process",588,46,"X,X,X,X,X,X,X,X,X","MMP12,CDC20,XBP1,SYNPO2,PSMA5,CLGN,WWP1,IL33,LRP2"
"9","query_1",TRUE,0.997169688775791,24,152,9,0.0592105263157895,0.375,"GO:0030198","goslim_names","extracellular matrix organization",588,47,"X,X,X,X,X,X,X,X,X","FOXC1,FERMT1,SERPINB5,MMP12,MMP7,PTX3,KLK5,ADAMTS15,THSD4"
"12","query_1",TRUE,0.997169688775791,39,152,9,0.0592105263157895,0.230769230769231,"GO:0034330","goslim_names","cell junction organization",588,50,"X,X,X,X,X,X,X,X,X","UGT8,CDC20,FZD9,MAPT,SYBU,SLITRK6,CNTNAP2,ERBB4,CLSTN2"
"13","query_1",TRUE,0.997169688775791,121,152,28,0.184210526315789,0.231404958677686,"GO:0036211","goslim_names","protein modification process",588,51,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","ROPN1,ART3,BCL11A,B3GNT5,BUB1,CDC20,MAP3K21,MYB,ARMT1,PKIB,XBP1,SYNPO2,FRY,PSMA5,DUSP4,MAPT,GALNT6,WWP1,FABP4,BMPR1B,NRK,ADIPOQ,AREG,NEK5,GFRA1,TCIM,GATA3,ERBB4"
