"ID","GB_ACC","SPOT_ID","Species Scientific Name","Annotation Date","Sequence Type","Sequence Source","Target Description","Representative Public ID","Gene Title","Gene Symbol","ENTREZ_GENE_ID","RefSeq Transcript ID","Gene Ontology Biological Process","Gene Ontology Cellular Component","Gene Ontology Molecular Function","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1553882_at","NM_145302","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:NM_145302.1 /DB_XREF=gi:21699085 /TID=Hs2.343206.1 /CNT=4 /FEA=FLmRNA /TIER=FL /STK=0 /LL=201853 /UG_GENE=MGC4836 /UG=Hs.343206 /UG_TITLE=similar to hypothetical protein (L1H 3 region) - human /DEF=Homo sapiens similar to hypothetical protein (L1H 3 region) - human (MGC4836), mRNA. /FL=gb:BC009926.1 gb:NM_145302.1","NM_145302","long intergenic non-protein coding RNA 504 ///  /// Homo sapiens cDNA clone IMAGE:3604199, **** WARNING: chimeric clone ****.","LINC00504 /// LINC00504 /// MGC4836","","","0006278 // RNA-dependent DNA replication // inferred from electronic annotation","","0003723 // RNA binding // inferred from electronic annotation /// 0003964 // RNA-directed DNA polymerase activity // inferred from electronic annotation",1.21495448592442,4.0689445021139,3.72024043746887,0.00045453201833667,0.030695297598113,-0.113333003338997
"1553910_at","NM_152488","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:NM_152488.1 /DB_XREF=gi:22749016 /TID=Hs2.351436.1 /CNT=3 /FEA=FLmRNA /TIER=FL /STK=0 /LL=148545 /UG_GENE=FLJ32833 /UG=Hs.351436 /UG_TITLE=hypothetical protein FLJ32833 /DEF=Homo sapiens hypothetical protein FLJ32833 (FLJ32833), mRNA. /FL=gb:NM_152488.1","NM_152488","neuroblastoma breakpoint family, member 4","NBPF4","148545","NM_001143989 /// NM_152488 /// XM_005270497 /// XM_006710378","","0005737 // cytoplasm // inferred from electronic annotation","",1.28305482701657,4.25931642761255,4.47082008910038,3.72714610625892e-05,0.0143115392142276,2.11862857685032
"1555800_at","BC038422","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:BC038422.1 /DB_XREF=gi:23468355 /TID=Hs2.6295.2 /CNT=3 /FEA=FLmRNA /TIER=FL /STK=0 /LL=151126 /UG_GENE=FLJ25270 /UG=Hs.6295 /UG_TITLE=hypothetical protein FLJ25270 /DEF=Homo sapiens, hypothetical protein FLJ25270, clone MGC:35055 IMAGE:5165975, mRNA, complete cds. /FL=gb:BC038422.1","BC038422","zinc finger protein 385B","ZNF385B","151126","NM_001113397 /// NM_001113398 /// NM_001282725 /// NM_152520 /// NR_104234 /// XM_006712321 /// XM_006712322 /// XM_006712323 /// XM_006712324","0006915 // apoptotic process // inferred from electronic annotation /// 0072332 // intrinsic apoptotic signaling pathway by p53 class mediator // inferred from direct assay","0005634 // nucleus // inferred from direct assay","0002039 // p53 binding // inferred from physical interaction /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation",1.71664497471388,3.66896847066862,3.45952168968416,0.00102717370578537,0.0398585680367744,-0.834244214847218
"1555801_s_at","BC038422","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:BC038422.1 /DB_XREF=gi:23468355 /TID=Hs2.6295.2 /CNT=3 /FEA=FLmRNA /TIER=FL /STK=0 /LL=151126 /UG_GENE=FLJ25270 /UG=Hs.6295 /UG_TITLE=hypothetical protein FLJ25270 /DEF=Homo sapiens, hypothetical protein FLJ25270, clone MGC:35055 IMAGE:5165975, mRNA, complete cds. /FL=gb:BC038422.1","BC038422","zinc finger protein 385B","ZNF385B","151126","NM_001113397 /// NM_001113398 /// NM_001282725 /// NM_152520 /// NR_104234 /// XM_006712321 /// XM_006712322 /// XM_006712323 /// XM_006712324","0006915 // apoptotic process // inferred from electronic annotation /// 0072332 // intrinsic apoptotic signaling pathway by p53 class mediator // inferred from direct assay","0005634 // nucleus // inferred from direct assay","0002039 // p53 binding // inferred from physical interaction /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation",1.85745483405689,3.67283806575271,3.46098594048419,0.00102257042930418,0.0398281263845827,-0.830285693844949
"1555893_at","AI918054","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:AI918054 /DB_XREF=gi:5637909 /DB_XREF=wi38g12.x1 /CLONE=IMAGE:2392582 /TID=Hs2.123374.1 /CNT=15 /FEA=mRNA /TIER=Stack /STK=12 /UG=Hs.123374 /UG_TITLE=Homo sapiens, clone IMAGE:5267578, mRNA","AI918054","Homo sapiens cDNA clone IMAGE:5267578. ///","BC038731 /// CTD-2284J15.1","","","","","",1.04700857384295,4.62793266276889,3.34468235621713,0.00145625888048013,0.0449074756290192,-1.14136938737226
"1556347_at","W72151","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:W72151 /DB_XREF=gi:1382618 /DB_XREF=zd70g04.s1 /CLONE=IMAGE:346038 /TID=Hs2.434257.1 /CNT=6 /FEA=mRNA /TIER=ConsEnd /STK=3 /UG=Hs.434257 /UG_TITLE=Homo sapiens full length insert cDNA clone ZD70G04","W72151","","","","","","","",1.16706683774561,4.5852212384668,3.24980413761419,0.00193356206329381,0.0499693190759396,-1.39000452605751
"1556473_at","AK095698","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:AK095698.1 /DB_XREF=gi:21755017 /TID=Hs2.134090.1 /CNT=4 /FEA=mRNA /TIER=ConsEnd /STK=3 /UG=Hs.134090 /UG_TITLE=Homo sapiens cDNA FLJ38379 fis, clone FEBRA2002986. /DEF=Homo sapiens cDNA FLJ38379 fis, clone FEBRA2002986.","AK095698","uncharacterized FLJ38379","FLJ38379","285097","XR_108456 /// XR_427242 /// XR_430839","","","",1.41002225947744,2.99025973618119,4.06710546129073,0.000146873962237606,0.0200370830140934,0.891858403215092
"1556474_a_at","AK095698","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:AK095698.1 /DB_XREF=gi:21755017 /TID=Hs2.134090.1 /CNT=4 /FEA=mRNA /TIER=ConsEnd /STK=3 /UG=Hs.134090 /UG_TITLE=Homo sapiens cDNA FLJ38379 fis, clone FEBRA2002986. /DEF=Homo sapiens cDNA FLJ38379 fis, clone FEBRA2002986.","AK095698","uncharacterized FLJ38379","FLJ38379","285097","XR_108456 /// XR_427242 /// XR_430839","","","",2.10063251725586,4.66993798263933,3.78383893700249,0.000370860289414935,0.028123143306188,0.067215542369949
"203928_x_at","AI870749","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:AI870749 /DB_XREF=gi:5544717 /DB_XREF=wl76d10.x1 /CLONE=IMAGE:2430835 /FEA=FLmRNA /CNT=147 /TID=Hs.101174.1 /TIER=Stack /STK=38 /UG=Hs.101174 /LL=4137 /UG_GENE=MAPT /UG_TITLE=microtubule-associated protein tau /FL=gb:NM_016835.1","AI870749","microtubule-associated protein tau","MAPT","4137","NM_001123066 /// NM_001123067 /// NM_001203251 /// NM_001203252 /// NM_005910 /// NM_016834 /// NM_016835 /// NM_016841 /// XM_005257362 /// XM_005257364 /// XM_005257365 /// XM_005257366 /// XM_005257367 /// XM_005257368 /// XM_005257369 /// XM_005257370 /// XM_005257371 /// XM_005257372 /// XM_005275647 /// XM_005275648 /// XM_006725265 /// XM_006725266 /// XM_006725267 /// XM_006725268 /// XM_006725269 /// XM_006725270 /// XM_006725271 /// XM_006725272 /// XM_006725273 /// XM_006725274 /// XM_006725275 /// XM_006725616 /// XM_006725617 /// XM_006725618 /// XM_006725619 /// XM_006725620 /// XM_006725621 /// XM_006725622 /// XM_006725623 /// XM_006725624 /// XM_006725625","0000226 // microtubule cytoskeleton organization // inferred from direct assay /// 0001764 // neuron migration // inferred from electronic annotation /// 0006915 // apoptotic process // traceable author statement /// 0006921 // cellular component disassembly involved in execution phase of apoptosis // traceable author statement /// 0007409 // axonogenesis // inferred from electronic annotation /// 0007628 // adult walking behavior // inferred from electronic annotation /// 0008088 // axon cargo transport // inferred from electronic annotation /// 0008219 // cell death // inferred from electronic annotation /// 0010506 // regulation of autophagy // inferred from genetic interaction /// 0031113 // regulation of microtubule polymerization // non-traceable author statement /// 0031116 // positive regulation of microtubule polymerization // inferred from direct assay /// 0032387 // negative regulation of intracellular transport // inferred from electronic annotation /// 0045773 // positive regulation of axon extension // inferred from direct assay /// 0047497 // mitochondrion transport along microtubule // inferred from electronic annotation /// 0048675 // axon extension // inferred from electronic annotation /// 0048699 // generation of neurons // non-traceable author statement /// 0060632 // regulation of microtubule-based movement // inferred from electronic annotation","0005634 // nucleus // inferred from electronic annotation /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005829 // cytosol // traceable author statement /// 0005856 // cytoskeleton // inferred from electronic annotation /// 0005874 // microtubule // inferred from electronic annotation /// 0005875 // microtubule associated complex // traceable author statement /// 0005886 // plasma membrane // inferred from direct assay /// 0016020 // membrane // inferred from electronic annotation /// 0030424 // axon // inferred from direct assay /// 0030426 // growth cone // inferred from direct assay /// 0034399 // nuclear periphery // inferred from direct assay /// 0036464 // cytoplasmic ribonucleoprotein granule // inferred from direct assay /// 0042995 // cell projection // inferred from electronic annotation /// 0045298 // tubulin complex // inferred from direct assay","0005200 // structural constituent of cytoskeleton // traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0008017 // microtubule binding // inferred from direct assay /// 0015631 // tubulin binding // inferred from electronic annotation /// 0017124 // SH3 domain binding // inferred from physical interaction /// 0019899 // enzyme binding // inferred from physical interaction /// 0019901 // protein kinase binding // inferred from electronic annotation /// 0034185 // apolipoprotein binding // inferred from physical interaction /// 0071813 // lipoprotein particle binding // inferred from physical interaction",1.24019907866369,6.66710221790794,3.55124995157661,0.000773749867798462,0.0364127387476158,-0.584248449627731
"204365_s_at","NM_022912","","Homo sapiens","Oct 6, 2014","Exemplar sequence","GenBank","gb:NM_022912.1 /DB_XREF=gi:12597656 /GEN=FLJ13110 /FEA=FLmRNA /CNT=132 /TID=Hs.7358.0 /TIER=FL+Stack /STK=45 /UG=Hs.7358 /LL=65055 /DEF=Homo sapiens hypothetical protein FLJ13110 (FLJ13110), mRNA. /PROD=hypothetical protein FLJ13110 /FL=gb:NM_022912.1","NM_022912","receptor accessory protein 1","REEP1","65055","NM_001164730 /// NM_001164731 /// NM_001164732 /// NM_022912 /// XM_005264502 /// XM_005264503 /// XM_005264504 /// XM_005264505 /// XM_006712078","0008219 // cell death // inferred from electronic annotation /// 0051205 // protein insertion into membrane // inferred from direct assay /// 0071786 // endoplasmic reticulum tubular network organization // inferred from mutant phenotype","0005737 // cytoplasm // inferred from direct assay /// 0005739 // mitochondrion // inferred from electronic annotation /// 0005783 // endoplasmic reticulum // inferred from direct assay /// 0016020 // membrane // inferred from direct assay /// 0016021 // integral component of membrane // inferred from electronic annotation /// 0031966 // mitochondrial membrane // inferred from electronic annotation","0005515 // protein binding // inferred from physical interaction /// 0008017 // microtubule binding // inferred from direct assay /// 0031849 // olfactory receptor binding // inferred from mutant phenotype",1.02499349766621,5.94584627262106,3.40438113460306,0.00121556531282617,0.0418455647694902,-0.982539917416213
