"PROBEID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1552619_a_at","ANLN","anillin actin binding protein",1.07285021336123,7.54411686470849,7.57747425790786,5.9080025632277e-13,6.06838324524656e-12,18.5732897757111
"1552735_at","PCDHGA4","protocadherin gamma subfamily A, 4",1.15938193491269,6.87844222350897,8.43387768334647,2.17993259161161e-15,3.18360758296258e-14,24.0883362248035
"1552848_a_at","PTCHD1","patched domain containing 1",1.17383052751961,6.848227153737,5.27468476874773,2.76441692452782e-07,1.18451798862507e-06,5.82044468038905
"1553603_s_at","ATL2","atlastin GTPase 2",1.0822478366845,6.81326178236901,14.6788731167689,4.14874667102987e-36,5.72809909693329e-34,71.3503318172711
"1553613_s_at","FOXC1","forkhead box C1",2.49165308181258,9.95291789320182,11.0343247745284,1.51528477802585e-23,5.79763437638652e-22,42.6582035360411
"1553989_a_at","ATP6V1C2","ATPase H+ transporting V1 subunit C2",1.07561582262769,7.26856740893112,8.42313747542795,2.34353089469135e-15,3.41140978879792e-14,24.0170011453885
"1554086_at","TUBGCP3","tubulin gamma complex associated protein 3",1.28966397103288,5.93711910013896,13.2489655891894,4.33814554753815e-31,3.66031030573532e-29,59.8795680668907
"1554242_a_at","COCH","cochlin",1.01610791076827,5.63370869304868,6.66883670767955,1.49337178726881e-10,1.0753338926501e-09,13.1463923486321
"1554640_at","PALM2AKAP2","PALM2 and AKAP2 fusion",1.07935216974311,6.50964231532866,9.84037125976199,1.11814664430533e-19,2.79792529873657e-18,33.8427535546706
"1554696_s_at","TYMS","thymidylate synthetase",1.22065164679441,8.19696832883761,11.7081667086126,8.45578358987581e-26,4.05899883912608e-24,47.7994739626393
"1559078_at","BCL11A","BAF chromatin remodeling complex subunit BCL11A",1.56715213999343,6.71573022670313,10.4255552958436,1.49578609253198e-21,4.60225687164807e-20,38.1110514211006
"1559258_a_at","CT83","cancer/testis antigen 83",1.72973891431171,6.40660113861254,8.68468889747404,3.96598861778755e-16,6.37765963757454e-15,25.7688258645479
"1564307_a_at","A2ML1","alpha-2-macroglobulin like 1",1.29950294203011,5.69032677716465,10.0408994434497,2.58016887160066e-20,6.9767919413831e-19,35.2931180563323
"1569788_at","ST8SIA1","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1",1.05551775869738,5.68016772357918,8.62312820088121,6.04070239742815e-16,9.54001743441317e-15,25.3537898946692
"200634_at","PFN1","profilin 1",1.02682189658885,8.8965708089596,7.23960437346605,4.87262658644022e-12,4.3509857686366e-11,16.5008837140749
"200790_at","ODC1","ornithine decarboxylase 1",1.16042833168577,11.3651463886709,9.63281275831366,5.0305144000747e-19,1.16128767601974e-17,32.3558733583109
"200896_x_at","HDGF","heparin binding growth factor",1.13925520558059,11.5242986103758,13.1443651435676,1.00266449797295e-30,8.10956825838333e-29,59.0483074673026
"201030_x_at","LDHB","lactate dehydrogenase B",1.07307714322885,13.1176717726516,8.10605157098582,1.93897180946199e-14,2.4717482789073e-13,21.9350040956045
"201037_at","PFKP","phosphofructokinase, platelet",1.08289314797863,10.411919163426,8.1726461820366,1.24878980776559e-14,1.63853090327775e-13,22.3683450900529
"201161_s_at","YBX3","Y-box binding protein 3",1.06400045677806,10.7092253126451,8.81641652390404,1.60332969544107e-16,2.71350003302675e-15,26.6623907110076
"201195_s_at","SLC7A5","solute carrier family 7 member 5",1.70001267767376,9.65457113039431,9.67945564985391,3.59249115232769e-19,8.44088756998353e-18,32.6887024981868
"201387_s_at","UCHL1","ubiquitin C-terminal hydrolase L1",1.31455513473095,8.4579207683447,8.2079064523362,9.88450973369875e-15,1.31781411775172e-13,22.5986443150819
"201397_at","PHGDH","phosphoglycerate dehydrogenase",1.35595582660103,9.50568151871382,9.23565084334893,8.57209434888198e-18,1.71488934696349e-16,29.5538975208384
"201564_s_at","FSCN1","fascin actin-bundling protein 1",1.07770903213703,8.61904486462875,7.87356841219826,8.86174796293537e-14,1.02046350015478e-12,20.4390999752024
"201774_s_at","NCAPD2","non-SMC condensin I complex subunit D2",1.15477729930013,8.68442720318525,9.13721256448507,1.71559191115099e-17,3.30281646979509e-16,28.868638506634
"201797_s_at","VARS1","valyl-tRNA synthetase 1",1.01447566223597,8.43650305734675,9.1405317858855,1.67602198958781e-17,3.23118837379103e-16,28.8916828456868
"201820_at","KRT5","keratin 5",1.85240109682057,9.00715691398886,7.38217180480014,2.01509369736041e-12,1.90614615749447e-11,17.3677887063817
"201983_s_at","EGFR","epidermal growth factor receptor",1.24447707647332,8.85417278998993,7.43005094591688,1.49438549533033e-12,1.44126877680695e-11,17.6614236953161
"202036_s_at","SFRP1","secreted frizzled related protein 1",1.2960038079625,9.50219835559765,4.64080250090263,5.46173420356703e-06,1.86731064019527e-05,2.94587258206719
"202037_s_at","SFRP1","secreted frizzled related protein 1",1.44984016161757,10.3026004786168,4.80067885796228,2.64542751634793e-06,9.53515389652072e-06,3.6419641754043
"202094_at","BIRC5","baculoviral IAP repeat containing 5",1.22022889881775,8.21643081525483,7.72804814818415,2.263721122382e-13,2.4714247676964e-12,19.5164803324768
"202095_s_at","BIRC5","baculoviral IAP repeat containing 5",1.04891111357601,8.99068867223241,6.32114853895036,1.0946636661012e-09,6.9351953585264e-09,11.1991451053038
"202234_s_at","SLC16A1","solute carrier family 16 member 1",1.08510879524419,7.48206957491618,6.21868673640059,1.94138955363017e-09,1.18545313652814e-08,10.6398966497064
"202235_at","SLC16A1","solute carrier family 16 member 1",1.15423263160799,7.58484803782199,9.68088929764645,3.55546461751584e-19,8.35748185566117e-18,32.6989446895772
"202236_s_at","SLC16A1","solute carrier family 16 member 1",1.5074649802985,7.57390216153978,11.4885584315241,4.63777573235757e-25,2.04822607565953e-23,46.1126262946634
"202307_s_at","TAP1","transporter 1, ATP binding cassette subfamily B member",1.07284295189624,10.2800615821151,8.01376870833812,3.55526536497206e-14,4.35741165276502e-13,21.338039242968
"202341_s_at","TRIM2","tripartite motif containing 2",1.28704206490787,9.83541467022911,7.79295902149743,1.49176664175724e-13,1.67582373408829e-12,19.9266951824719
"202342_s_at","TRIM2","tripartite motif containing 2",1.11760734156626,9.18838876753154,6.12324227495213,3.29107669859324e-09,1.93816909193866e-08,10.1250804266644
"202504_at","TRIM29","tripartite motif containing 29",1.42869299950657,9.13834236839568,6.08429861257446,4.07520544764924e-09,2.35729853840692e-08,9.91673996725804
"202580_x_at","FOXM1","forkhead box M1",1.32915597138802,7.98947428910627,7.43588241358335,1.44083381900916e-12,1.39380023096825e-11,17.6972720261811
"202589_at","TYMS","thymidylate synthetase",1.06364603252988,10.7164043753179,7.27399238864766,3.94185676666652e-12,3.57414624738793e-11,16.7089580483403
"202613_at","CTPS1","CTP synthase 1",1.09180374473167,9.18071002006056,8.26792981308674,6.63048203871739e-15,9.08347796208653e-14,22.9920302725462
"202870_s_at","CDC20","cell division cycle 20",1.5997103550758,9.64878956549799,8.61333883836006,6.45775933059138e-16,1.01430046366011e-14,25.2879430691886
"202935_s_at","SOX9","SRY-box transcription factor 9",1.14083471826813,8.37210028057704,5.90521436385432,1.07527247513818e-08,5.81221182186654e-08,8.97166867783728
